DateTime,City,State,Country,location,geocode,lat,long
2021-10-03 20:10:00,Dolberg (Germany),,Germany,"Dolberg (Germany),Germany","(51.7103529, 7.921099099999999)",51.7103529,7.921099099999999
2021-10-03 19:31:00,St. Louis,MO,USA,"St. Louis,MO,USA","(38.6270025, -90.19940419999999)",38.6270025,-90.19940419999999
2021-10-03 18:00:00,Bremerton,WA,USA,"Bremerton,WA,USA","(47.5650067, -122.6269768)",47.5650067,-122.6269768
2021-10-03 13:28:00,South Amboy,NJ,USA,"South Amboy,NJ,USA","(40.4778838, -74.290702)",40.4778838,-74.290702
2021-10-03 12:55:00,Port Angeles,WA,USA,"Port Angeles,WA,USA","(48.118146, -123.4307413)",48.118146,-123.4307413
2021-10-03 12:00:00,Arvada,CO,USA,"Arvada,CO,USA","(39.8027644, -105.0874842)",39.8027644,-105.0874842
2021-10-03 05:10:00,May,ID,USA,"May,ID,USA","(44.6043694, -113.9119973)",44.6043694,-113.9119973
2021-10-03 05:10:00,May,ID,USA,"May,ID,USA","(44.6043694, -113.9119973)",44.6043694,-113.9119973
2021-10-03 04:30:00,Nederland,CO,USA,"Nederland,CO,USA","(39.9613759, -105.5108312)",39.9613759,-105.5108312
2021-10-02 21:53:00,Pullman,WA,USA,"Pullman,WA,USA","(46.7297771, -117.1817377)",46.7297771,-117.1817377
2021-10-02 21:35:00,Brookings,OR,USA,"Brookings,OR,USA","(42.0526114, -124.2839819)",42.0526114,-124.2839819
2021-10-02 21:00:00,Blairsville,GA,USA,"Blairsville,GA,USA","(34.8760734, -83.95844559999999)",34.8760734,-83.95844559999999
2021-10-02 20:15:00,Little River,NC,USA,"Little River,NC,USA","(35.23872679999999, -82.6290119)",35.23872679999999,-82.6290119
2021-10-02 20:00:00,Spokane,WA,USA,"Spokane,WA,USA","(47.6587802, -117.4260466)",47.6587802,-117.4260466
2021-10-02 17:10:00,St. Peter,MN,USA,"St. Peter,MN,USA","(44.3258932, -93.955691)",44.3258932,-93.955691
2021-10-02 17:00:00,Temecula,CA,USA,"Temecula,CA,USA","(33.4934243, -117.1488156)",33.4934243,-117.1488156
2021-10-02 06:49:00,Pine City,NY,USA,"Pine City,NY,USA","(42.0367409, -76.8694036)",42.0367409,-76.8694036
2021-10-02 04:21:00,Erie,CO,USA,"Erie,CO,USA","(40.0502623, -105.0499817)",40.0502623,-105.0499817
2021-10-02 03:00:00,Titusville,FL,USA,"Titusville,FL,USA","(28.6122187, -80.8075537)",28.6122187,-80.8075537
2021-10-01 22:30:00,Lithia,FL,USA,"Lithia,FL,USA","(27.8187623, -82.1496049)",27.8187623,-82.1496049
2021-10-01 22:15:00,Irving,NY,USA,"Irving,NY,USA","(42.5673417, -79.11263339999999)",42.5673417,-79.11263339999999
2021-10-01 21:00:00,Colorado Springs,CO,USA,"Colorado Springs,CO,USA","(38.8338816, -104.8213634)",38.8338816,-104.8213634
2021-10-01 20:35:00,Belle River (Canada),ON,Canada,"Belle River (Canada),ON,Canada","(42.2932234, -82.7117164)",42.2932234,-82.7117164
2021-10-01 16:25:00,Corydon,IN,USA,"Corydon,IN,USA","(38.2120121, -86.1219155)",38.2120121,-86.1219155
2021-10-01 15:43:00,Youngstown,OH,USA,"Youngstown,OH,USA","(41.0997803, -80.6495194)",41.0997803,-80.6495194
2021-10-01 15:28:00,Snohomish,WA,USA,"Snohomish,WA,USA","(47.91287560000001, -122.0981848)",47.91287560000001,-122.0981848
2021-10-01 14:08:00,Pueblo,CO,USA,"Pueblo,CO,USA","(38.2544472, -104.6091409)",38.2544472,-104.6091409
2021-10-01 10:25:00,Griffin,GA,USA,"Griffin,GA,USA","(33.2467807, -84.2640904)",33.2467807,-84.2640904
2021-10-01 09:40:00,Albuquerque,NM,USA,"Albuquerque,NM,USA","(35.0843859, -106.650422)",35.0843859,-106.650422
2021-10-01 05:40:00,Stanlow (Wirral) (UK/England),,United Kingdom,"Stanlow (Wirral) (UK/England),United Kingdom","(53.2746297, -2.845749)",53.2746297,-2.845749
2021-10-01 03:35:00,O'Fallon,MO,USA,"O'Fallon,MO,USA","(38.8106075, -90.69984769999999)",38.8106075,-90.69984769999999
2021-04-30 23:15:00,Brights Grove (Canada),ON,Canada,"Brights Grove (Canada),ON,Canada","(43.02958599999999, -82.2575692)",43.02958599999999,-82.2575692
2021-04-30 21:00:00,Newton,IA,USA,"Newton,IA,USA","(41.7033177, -93.05735330000002)",41.7033177,-93.05735330000002
2021-04-30 20:45:00,Jellico,TN,USA,"Jellico,TN,USA","(36.5878591, -84.1268741)",36.5878591,-84.1268741
2021-04-30 19:42:00,Cottonwood,AZ,USA,"Cottonwood,AZ,USA","(34.7391876, -112.0098791)",34.7391876,-112.0098791
2021-04-30 07:10:00,Piedmont,MO,USA,"Piedmont,MO,USA","(37.1544946, -90.6956749)",37.1544946,-90.6956749
2021-04-30 06:56:00,Newington,CT,USA,"Newington,CT,USA","(41.6972996, -72.7228293)",41.6972996,-72.7228293
2021-04-30 05:15:00,Jonesboro,AR,USA,"Jonesboro,AR,USA","(35.835696, -90.7051346)",35.835696,-90.7051346
2021-04-30 00:45:00,Fairfield,OH,USA,"Fairfield,OH,USA","(39.3454673, -84.5603187)",39.3454673,-84.5603187
2021-04-30 00:00:00,Oak Hill,WV,USA,"Oak Hill,WV,USA","(37.9723339, -81.1487135)",37.9723339,-81.1487135
2021-04-29 23:59:00,Oswego,NY,USA,"Oswego,NY,USA","(43.4553461, -76.5104973)",43.4553461,-76.5104973
2021-04-29 23:39:00,Homosassa,FL,USA,"Homosassa,FL,USA","(28.7813722, -82.6151001)",28.7813722,-82.6151001
2021-04-29 22:45:00,Corydon,IN,USA,"Corydon,IN,USA","(38.2120121, -86.1219155)",38.2120121,-86.1219155
2021-04-29 22:00:00,Venice,FL,USA,"Venice,FL,USA","(27.0997775, -82.4542632)",27.0997775,-82.4542632
2021-04-29 22:00:00,Aragonite,UT,USA,"Aragonite,UT,USA","(40.7427465, -113.0051176)",40.7427465,-113.0051176
2021-04-29 22:00:00,Flagstaff,AZ,USA,"Flagstaff,AZ,USA","(35.1982836, -111.651302)",35.1982836,-111.651302
2021-04-29 21:03:00,Carson City,NV,USA,"Carson City,NV,USA","(39.1637984, -119.7674034)",39.1637984,-119.7674034
2021-04-29 13:58:00,St. Louis,MO,USA,"St. Louis,MO,USA","(38.6270025, -90.19940419999999)",38.6270025,-90.19940419999999
2021-04-29 09:32:00,Kansas City,MO,USA,"Kansas City,MO,USA","(39.0997265, -94.5785667)",39.0997265,-94.5785667
2021-04-28 23:46:00,Kissimmee,FL,USA,"Kissimmee,FL,USA","(28.2919557, -81.40757099999999)",28.2919557,-81.40757099999999
2021-04-28 21:50:00,Carson City,NV,USA,"Carson City,NV,USA","(39.1637984, -119.7674034)",39.1637984,-119.7674034
2021-04-28 21:40:00,Yardley,PA,USA,"Yardley,PA,USA","(40.245664, -74.8459972)",40.245664,-74.8459972
2021-04-28 21:20:00,Organ Pipe National Monument,AZ,USA,"Organ Pipe National Monument,AZ,USA","(32.0280019, -112.8320412)",32.0280019,-112.8320412
