DateTime,City,State,Country,location
2021-09-16 08:22:00,Mountlake Terrace,WA,USA,"Mountlake Terrace,WA,USA"
2021-09-16 07:30:00,Shoreline,WA,USA,"Shoreline,WA,USA"
2021-09-16 00:20:00,Brick,NJ,USA,"Brick,NJ,USA"
2021-09-15 23:00:00,Chicago,IL,USA,"Chicago,IL,USA"
2021-09-15 20:45:00,Portage,IN,USA,"Portage,IN,USA"
2021-09-15 20:45:00,Lake Sumter Landing,FL,USA,"Lake Sumter Landing,FL,USA"
2021-09-15 20:30:00,Grand Junction,CO,USA,"Grand Junction,CO,USA"
2021-09-15 20:06:00,Port Saint Lucie,FL,USA,"Port Saint Lucie,FL,USA"
2021-09-15 20:00:00,Vero Beach,FL,USA,"Vero Beach,FL,USA"
2021-09-15 18:30:00,Clearwater,FL,USA,"Clearwater,FL,USA"
2021-09-15 16:30:00,Norfolk,VA,USA,"Norfolk,VA,USA"
2021-09-15 10:23:00,Jacksonville,NC,USA,"Jacksonville,NC,USA"
2021-09-15 08:30:00,Sycamore,IL,USA,"Sycamore,IL,USA"
2021-09-15 06:00:00,Staunton,VA,USA,"Staunton,VA,USA"
2021-09-15 05:56:00,Midwest City,OK,USA,"Midwest City,OK,USA"
2021-09-15 03:00:00,Liverpool,NY,USA,"Liverpool,NY,USA"
2021-09-15 00:00:00,Canby,OR,USA,"Canby,OR,USA"
2021-09-14 21:00:00,St. Petersburg,FL,USA,"St. Petersburg,FL,USA"
2021-09-14 21:00:00,Alto,NM,USA,"Alto,NM,USA"
2021-09-14 20:43:00,Cornwall (Canada),ON,Canada,"Cornwall (Canada),ON,Canada"
2021-09-14 16:15:00,Millerton,PA,USA,"Millerton,PA,USA"
2021-09-14 10:23:00,Edmonds,WA,USA,"Edmonds,WA,USA"
2021-09-13 22:53:00,Palm Springs,CA,USA,"Palm Springs,CA,USA"
2021-09-13 22:30:00,Temple Terrace,FL,USA,"Temple Terrace,FL,USA"
2021-09-13 21:00:00,Litchfield park,AZ,USA,"Litchfield park,AZ,USA"
2021-09-13 19:00:00,Los angeles,CA,USA,"Los angeles,CA,USA"
2021-09-13 16:30:00,Loomis,CA,USA,"Loomis,CA,USA"
2021-09-13 15:28:00,Whittier,CA,USA,"Whittier,CA,USA"
2021-09-13 12:30:00,Edmonton,AB,Canada,"Edmonton,AB,Canada"
2021-09-13 03:15:00,Apache Junction,AZ,USA,"Apache Junction,AZ,USA"
2021-09-13 00:41:00,Pine City,NY,USA,"Pine City,NY,USA"
2021-09-13 00:30:00,Manistique,MI,USA,"Manistique,MI,USA"
2021-09-12 00:00:00,Cornwallville,NY,USA,"Cornwallville,NY,USA"
2021-09-12 21:03:00,Kings Park,NY,USA,"Kings Park,NY,USA"
2021-09-12 20:10:00,Oshawa (Canada),ON,Canada,"Oshawa (Canada),ON,Canada"
2021-09-12 20:00:00,Moreno Valley,CA,USA,"Moreno Valley,CA,USA"
2021-09-12 18:00:00,Dallas,TX,USA,"Dallas,TX,USA"
2021-09-12 17:11:00,Edmonds,WA,USA,"Edmonds,WA,USA"
2021-09-12 12:30:00,Logansport,IN,USA,"Logansport,IN,USA"
2021-09-12 07:59:00,West Fallowfield,PA,USA,"West Fallowfield,PA,USA"
2021-09-12 03:00:00,Meadville,PA,USA,"Meadville,PA,USA"
2021-09-12 01:11:00,Kalamazoo,MI,USA,"Kalamazoo,MI,USA"
2021-09-11 23:06:00,medford,OR,USA,"medford,OR,USA"
2021-09-11 22:05:00,Lake Worth,FL,USA,"Lake Worth,FL,USA"
2021-09-11 21:10:00,Westbrook,CT,USA,"Westbrook,CT,USA"
2021-09-11 19:40:00,Philadelphia,PA,USA,"Philadelphia,PA,USA"
2021-09-11 16:15:00,Iowa City,IA,USA,"Iowa City,IA,USA"
2021-09-11 15:30:00,York,PA,USA,"York,PA,USA"
2021-09-11 04:30:00,Grand Rapids,MI,USA,"Grand Rapids,MI,USA"
2021-09-10 23:30:00,Sweetwater,TX,USA,"Sweetwater,TX,USA"
2021-09-10 23:30:00,Sweetwater,TX,USA,"Sweetwater,TX,USA"
2021-09-10 22:15:00,Kennebunk,ME,USA,"Kennebunk,ME,USA"
2021-09-10 21:15:00,Beeton (Canada),ON,Canada,"Beeton (Canada),ON,Canada"
2021-09-10 20:13:00,Fort Worth,TX,USA,"Fort Worth,TX,USA"
2021-09-10 19:39:00,Duluth,OR,USA,"Duluth,OR,USA"
2021-09-10 11:25:00,Mt. Vernon,IN,USA,"Mt. Vernon,IN,USA"
2021-09-10 00:30:00,Brunswick,GA,USA,"Brunswick,GA,USA"
