,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
129,1/22/20 17:45,Warren,RI,USA,Egg,19:00,Upside down egg shaped glowing object with blue whispy tail and red blinking orbs.,2/7/20,
130,1/22/20 16:45,Huntsville,AL,USA,Unknown,30 minutes,"spotted flying object with flashing bright white light,then stopped remained there and desend downward",1/31/20,
131,1/22/20 10:32,Port Charlotte,FL,USA,Rectangle,10 seconds,White rectangular craft in southwest Florida,1/31/20,
132,1/22/20 09:35,Bear,DE,USA,Triangle,3 minutes,I noticed an elongated blackish triangle shaped object. It seemed to be moving pretty fast its angle was very steep. I would say on a,1/31/20,
133,1/22/20 06:44,Evansville,IN,USA,,,MADAR Node 153,2/7/20,
134,1/22/20 03:30,Ripon,CA,USA,Cigar,,"We were traveling south on highway 99 passing through Ripon, CA . I was looking at the clouds against the beautiful color of blue sky.",3/31/21,
135,1/22/20 01:25,Largo,FL,USA,,,MADAR Node 140,2/7/20,
136,1/21/20 22:30,Fishersville,VA,USA,Oval,2 minutes,the craft was larger than a helicopter and oval shaped grey with spinning colored lights and followed beside my car.,1/31/20,
137,1/21/20 21:15,Pukalani,HI,USA,Oval,2 minutes,Bright orange glowing oval shaped object moving in the sky,1/31/20,
138,1/21/20 16:54,Baton Rouge,LA,USA,Circle,10 minutes,"Large black balloon spotted over Baton Rouge, LA, USA",1/31/20,
139,1/21/20 16:43,Jonesboro,AR,USA,,,MADAR Node 143,2/7/20,
140,1/21/20 16:28,Mobile,AL,USA,,,MADAR Node 63,1/31/20,
141,1/21/20 16:00,Siler City,NC,USA,Disk,10 minutes,I seen a metallic and silver objects in the air.,1/31/20,
142,1/21/20 16:00,Siler city,NC,USA,Disk,10 minutes,I seen a metallic and silver objects in the air less than 1500 ft it was big.,1/31/20,
143,1/21/20 11:27,Tomkins Cove,NY,USA,Cylinder,4 minutes,"Extremely slow moving cylinder shaped object in sky to the west just above the tree line. There was no noise, no vapor, no lights...jus",2/7/20,
144,1/21/20 08:45,Peterhead (UK/Scotland),,United Kingdom,Triangle,15 minutes,UFO over North Sea Punched Hole in Blue Sky.,1/31/20,
145,1/21/20 05:29,Austin,TX,USA,,,MADAR Node 101,2/7/20,
146,1/21/20 05:05,Canyon Country,CA,USA,Light,10 seconds,"Moving slow In sky like 10 sec pass over shadow pine. ((""Starlink"" satellites??))",1/31/20,
147,1/21/20 03:30,Botkin,OH,USA,Disk,11-15 minutes,While traveling south on interstate 75 my fiancee and I saw a very large amber glow in the distance with what seemed to be a cone shap,1/31/20,
148,1/21/20 03:08,Clarksville,TN,USA,,,MADAR Node 138,2/7/20,
149,1/21/20 03:00,Hutchinson,KS,USA,Oval,10 seconds,"I sighted the object at 3am-ish in Kansas. My fiancee and I went out to my vehicle to have a cigarette, because we couldn't sleep. He w",1/31/20,
150,1/21/20 00:00,Gouverneur,NY,USA,Unknown,1 minute,At about 12:50 or so I was sitting down with my girlfriend to put together a puzzle . shortly after we began separating out the edge pi,1/31/20,
151,1/21/20 00:00,Gouverneur,NY,USA,Unknown,1 minute,My partner and I were sitting in our living room and heard a strang whirring noise out curiosity I decided to look out the window and,1/31/20,
152,1/20/20 21:00,Princeton,WV,USA,Light,1-2 hours,A large array of lights resembling the aurora borealis were seen over the sky's of mercer county.,1/31/20,
153,1/20/20 21:00,Laurelville,OH,USA,,,MADAR Node 145,2/7/20,
154,1/20/20 19:20,Gilbert,AZ,USA,Circle,2 minutes,At 1920 p.m. I witnessed a green circle light with a red light attached flying from west to east. It made no sound. Suddenly it Stopped,1/31/20,
155,1/20/20 19:00,Tirana (Albania),,Albania,Light,5 minutes,"Many strange lights (roughly 40 of them) following each other in the night sky. ((""Starlink"" satellites))",2/7/20,
156,1/20/20 19:00,Knoxville,TN,USA,Circle,2 minutes,"Round, white light in sky moving back and forth very rapidly.",1/31/20,
157,1/20/20 18:35,Sarasota,FL,USA,Other,15 minutes,UFO orb flying over Sarasota,6/25/20,
158,1/20/20 18:00,Henderson,NY,USA,Triangle,2 hours,Flashing red and green lights triangle shaped seemed to hover in one area as I walked it seemed to move my way,1/31/20,
159,1/20/20 17:57,Lowell,IN,USA,Light,30 minutes,Super bright spherical light hovered in one spot no sound creepy as hell not a drone.,1/31/20,
160,1/20/20 15:00,Detroit,MI,USA,Flash,45 minutes,"Seen 3 middle one flashed as if it were a mirror, commercial plane flew past within no time jets flew through and went around objects,",1/31/20,
161,1/20/20 14:00,Old Westbury,NY,USA,Other,,"Hi. This was not a UFO in the sky sighting. There's still snow on our lawn. I went out to look at something, and noticed unusual prints",1/31/20,
162,1/20/20 13:58,Temple City,CA,USA,Changing,1 minute,"Metallic Floating object determined not to be a plane, drone, helicopter or otherwise non-conventional flying object. Change shape and",3/2/21,
163,1/20/20 07:04,Fishers,IN,USA,,,MADAR Node 84,1/31/20,
164,1/20/20 06:30,Ft. Worth,TX,USA,Light,5 minutes,I was walking down my driveway to let my dog go poop. While i was waiting i was looking up at the stars . Ten i see a small orb of ligh,1/31/20,
165,1/20/20 06:30,Ft. Worth,TX,USA,Light,5 minutes,I was looking up at the stars .,1/31/20,
166,1/20/20 06:30,Hollywood,MD,USA,Circle,2 hours,"Captured footage of bright stars, revealed to be clear, circular hovering objects in southern Maryland.",1/31/20,
167,1/20/20 06:01,Cambridge,OH,USA,,,MADAR Node 137,2/7/20,
168,1/20/20 04:55,Sydney (Australia),,Australia,Light,30-60 seconds,A light hi up looking like a star but moving thought maybe was a plane but real hi up.. ((Starlink satellites?),1/31/20,
169,1/20/20 04:55,Sydney (Australia),,Australia,Light,30-60 seconds,"A light looking like a star but moving thought maybe was a plane but real hi up..then a second one (""Starlink"" satellites.))",1/31/20,
170,1/20/20 03:21,Royal Palm Beach,FL,USA,,,MADAR Node 76,1/31/20,
171,1/20/20 00:45,Schaghticoke,NY,USA,Sphere,10 seconds,"It was not a plane, meteor or a balloon",2/7/20,
172,1/19/20 23:29,Laughlintown,PA,USA,,,MADAR Node 94,2/7/20,
173,1/19/20 21:30,Dalzell,SC,USA,Disk,45 minutes,"In Dalzell, in the area where 441/521 crosses there appeared to be a large Spot Light above my house. I got out my camera and witness a",2/7/20,
174,1/19/20 21:10,Mountlake Terrace,WA,USA,,,MADAR Node 100,2/7/20,
175,1/19/20 21:00,Centennial,CO,USA,Formation,10 seconds,Formation of 25-30 light gray objects pass through the night sky.,1/31/20,
176,1/19/20 19:00,Worthing,SD,USA,Circle,5 seconds,There was a basketball sized orb that was bright white. Moved up and down and then disappeared.,1/31/20,
177,1/19/20 19:00,Coachella,CA,USA,Fireball,2 minutes,Driving down Frederick st coming to stop light on. Ave 52 when we saw what looked like 3 fireballs coming down but instead of just fal,1/31/20,
178,1/19/20 18:57,Avondale,AZ,USA,Triangle,20 seconds,I first noticed 2 red lights moving in perfect formation in the south/western sky moving east to west. The 2 red lights were tiny in co,1/31/20,
179,1/19/20 18:30,Brookings,SD,USA,Triangle,<1 minute,Triangular Shaped Drone,1/31/20,
180,1/19/20 15:36,Evans,GA,USA,Changing,3 minutes,"Christmas candy shaped, Mirror on bottom, disappeared & reappeared",2/13/20,
